id,Dim1,Dim2
486,6.276,-4.152
487,6.745,-14.245
488,15.011,-13.906
489,5.949,-13.089
490,0.972,-14.734
491,8.611,-8.226
492,8.004,-14.864
493,12.678,-2.66
494,-0.203,-6.892
495,0.039,-15.018
496,9.996,-9.861
497,8.484,-8.041
498,11.573,-4.394
499,3.952,-17.478
500,12.007,-15.865
501,17.292,-2.349
502,2.781,-12.678
503,8.347,-16.881
504,14.396,-6.704
505,16.355,-12.35
506,10.495,-9.606
507,0.674,-6.099
508,11.816,-5.901
509,10.857,-7.596
510,7.232,-16.97
511,-1.646,-8.124
512,6.35,-12.728
513,6.566,-21.272
514,9.04,-12.065
515,9.247,-21.311
516,4.444,-14.357
517,4.969,-17.057
518,11.413,-8.854
519,11.193,-7.778
520,7.817,-7.76
521,10.242,-14.921
522,10.583,-19.047
523,11.304,-10.916
524,1.318,-8.518
525,8.319,-13.15
526,7.86,-13.556
527,4.85,-11.641
528,-1.001,-4.067
529,9.807,-3.765
530,15.121,-3.372
531,10.845,-14.611
532,2.539,-9.235
533,12.874,-2.317
534,4.804,-11.195
535,10.47,-14.459
536,19.682,-4.77
537,10.901,-8.07
538,18.186,-3.325
539,5.872,-9.341
540,15.382,-6.971
541,7.259,-12.742
542,10.163,-8.563
543,4.978,-13.217
544,6.966,-19.353
545,2.923,-10.616
546,11.398,-3.801
547,0.342,-13.197
548,11.481,-14.686
549,7.983,-8.999
550,3.459,-5.353
551,11.61,-9.542
552,8.523,-16.717
553,13.496,-6.323
554,11.336,-0.251
555,9.447,-11.931
556,11.458,-8.956
557,11.202,-12.526
558,3.383,-4.432
559,6.044,-10.213
560,14.747,-6.526
561,14.477,-19.085
562,10.326,-19.945
563,4.079,-6.916
564,2.853,-8.035
565,11.443,-18.298
566,0.629,2.046
567,3.844,-10.789
568,10.719,-6.278
569,8.797,-6.386
570,3.205,-13.013
571,7.875,-11.942
572,9.562,-8.429
573,14.647,-3.865
574,9.079,-9.501
575,10.64,-8.983
576,3.067,-0.558
577,1.625,-12.37
578,9.049,-17.692
579,16.179,-1.303
580,11.945,-3.122
581,13.624,-10.083
582,2.95,-6.672
583,4.145,-9.56
584,2.047,-10.124
585,0.919,-13.07
586,19.356,-7.467
587,2.416,-9.464
588,12.355,-3.509
589,11.777,-5.99
590,7.26,-7.784
591,9.083,-8.904
592,10.519,-16.365
593,5.914,-10.999
594,4.369,-10.901
595,6.147,-12.058
596,2.879,-5.689
597,-3.331,-12.755
598,17.314,-13.529
599,2.534,-9.586
600,1.392,-7.845
601,-5.218,27.802
602,5.54,18.935
603,1.991,30.487
604,4.739,24.121
605,6.935,18.579
606,3.199,22.9
607,1.512,16.446
608,0.736,21.446
609,2.105,25.798
610,8.913,15.286
611,8.458,22.92
612,9.413,26.339
613,3.793,30.135
614,7.309,20.427
615,8.211,27.7
616,10.558,23.046
617,10.699,20.941
618,-3.428,17.887
619,-0.646,24.595
620,1.251,25.065
621,4.757,20.969
622,5.675,28.099
623,-1.635,14.434
624,12.943,27.637
625,5.039,20.071
626,4.594,22.838
627,-1.235,17.593
628,3.674,15.73
629,7.765,18.561
630,4.629,24.348
631,-1.234,23.864
632,0.075,22.902
633,-6.526,18.28
634,1.625,21.411
635,5.637,13.086
636,5.262,17.479
637,9.613,29.873
638,1.694,30.237
639,0.489,30.509
640,12.601,27.799
641,13.152,27.939
642,0.48,22.536
643,6.535,26.513
644,3.526,36.402
645,2.788,21.006
646,3.325,28.442
647,2.591,27.333
648,8.854,26.789
649,7.198,27.674
650,5.593,23.856
651,6.719,31.61
652,-1.896,23.133
653,7.756,32.716
654,-4.764,20.676
655,1.864,23.733
656,1.696,27.47
657,7.976,27.161
658,3.717,28.806
659,4.685,24.193
660,-0.649,28.619
661,2.093,24.344
662,2.825,31.704
663,10.091,22.923
664,8.64,23.907
665,2.875,21.868
666,2.53,21.215
667,-6.977,22.198
668,6.593,27.034
669,7.54,20.655
670,0.302,19.404
671,2.114,20.422
672,2.549,15.03
673,5.178,27.169
674,-6.922,27.918
675,0.456,22.362
676,7.257,22.852
677,0.899,23.143
678,2.518,28.769
679,-3.231,18.128
680,-3.998,25.926
681,12.338,28.206
682,0.598,28.372
683,2.393,29.705
684,4.279,24.023
685,1.416,22.307
686,2.462,22.363
687,-1.968,23.809
688,9.049,23.754
689,8.727,29.226
690,11.424,16.734
691,1.25,26.16
692,-0.424,28.531
693,-2.316,32.475
694,3.116,18.084
695,-3.615,22.441
696,1.822,23.03
697,3.818,17.641
698,0.687,20.883
699,3.44,27.095
700,0.482,20.935
701,3.805,30.736
702,-1.372,24.614
703,12.061,23.684
704,10.041,17.861
705,3.379,26.244
706,7.44,32.65
707,10.757,24.458
708,4.82,31.192
709,7.108,25.526
710,8.756,27.605
711,1.234,26.78
712,4.161,13.933
713,12.979,20.88
714,12.144,25.458
715,2.711,34.467
716,-2.685,19.355
717,5.615,25.347
718,3.5,16.649
719,1.269,24.41
720,1.716,27.055
721,4.805,23.272
722,5.042,27.289
723,5.078,33.245
724,-3.151,15.681
725,5.006,25.686
726,0.107,26.399
727,-1.767,27.834
728,5.789,20.67
729,8.12,24.408
730,4.172,19.197
731,3.22,25.063
732,-6.135,25.496
733,10.745,22.998
734,6.563,24.821
735,2.141,19.446
736,6.761,24.658
737,-4.876,19.343
738,0.008,22.893
739,6.692,31.288
740,-0.214,24.866
741,0.481,10.256
742,6.789,22.39
743,4.038,23.98
744,-3.778,18.632
745,3.594,23.71
746,10.178,20.287
747,4.387,24.526
748,8.589,29.55
749,-8.337,26.498
750,7.368,24.662
751,6.797,20.865
752,3.58,28.668
753,-1.511,28.067
754,0.813,20.472
755,-0.279,23.822
756,8.458,24.728
757,-2.078,26.285
758,-5.556,24.426
759,4.649,19.307
760,4.663,24.765
761,-0.677,18.58
762,10.663,26.747
763,14.135,14.071
764,0.452,26.595
765,6.519,20.618
766,-0.414,16.66
767,11.91,16.883
768,-7.341,23.386
769,-1.495,20.362
770,1.336,23.125
771,-1.33,31.831
772,1.692,22.744
773,-7.09,25.949
774,5.457,26.564
775,-0.027,25.499
776,3.424,29.255
777,3.244,18.747
778,2.744,27.474
779,-4.034,23.862
780,-2.006,13.082
781,3.816,24.566
782,2.355,21.393
783,0.707,23.771
784,9.905,25.517
785,12.917,25.182
786,12.518,27.137
787,2.908,32.044
788,7.852,23.023
789,8.445,17.895
790,7.726,29.1
791,9.37,21.049
792,7.891,23.472
793,7.237,28.972
794,1.926,22.504
795,5.599,28.462
796,3.994,23.619
797,0.81,27.74
798,4.895,19.623
799,-2.225,15.263
800,9.299,23.051
